Id,SalePrice
1461,103557.37593981792
1462,157543.78285773727
1463,176493.5080059025
1464,192140.16095309585
1465,184161.49736849612
1466,166066.3109713837
1467,177690.19992097834
1468,159913.9647701629
1469,190806.27826888344
1470,119351.94595828466
1471,180456.14515376362
1472,95001.20118869393
1473,90329.82817140236
1474,142959.56072675914
1475,115740.52419060862
1476,330841.31081989687
1477,227959.71251156038
1478,269399.7240407187
1479,272021.83637534967
1480,485741.50600186805
1481,310128.43088168773
1482,203680.499453183
1483,167782.69805207054
1484,160778.8993797714
1485,180330.97475179637
1486,189352.446379793
1487,311403.8440131931
1488,247505.07036685117
1489,180947.07741310284
1490,218456.65474336746
1491,185421.11758545076
1492,84173.08643278727
1493,178916.1918481893
1494,288651.8916444892
1495,280414.49186209694
1496,226781.93325992583
1497,168049.65295392156
1498,156493.24095197112
1499,154950.26105442675
1500,150697.53364227046
1501,162214.71468185485
1502,147642.51952719598
1503,285371.3295279123
1504,233769.2348783881
1505,214335.51261402896
1506,199136.53845419604
1507,240415.68542129116
1508,191304.6070390922
1509,158881.30652383642
1510,140537.43093799066
1511,143470.84921042225
1512,164875.43525582892
1513,124384.05418860374
1514,154833.52893459384
1515,189983.34457129854
1516,140726.31074134336
1517,167135.2901974402
1518,134493.57165263608
1519,204270.10166057662
1520,125777.71220438954
1521,123685.87406232627
1522,172501.06606784824
1523,101562.3022934309
1524,117629.95688803255
1525,115048.74506645353
1526,108387.05334313773
1527,106070.61906773088
1528,138522.37125509823
1529,144186.83625458216
1530,182875.88618108834
1531,113681.97084267404
1532,106436.34719558034
1533,146708.89488819853
1534,126579.60712976483
1535,138920.009436693
1536,104459.07639583938
1537,64540.3034401067
1538,141526.13396102356
1539,182235.55426640634
1540,93279.3594915329
1541,142145.37446862485
1542,122287.47800469583
1543,174400.58904534084
1544,81206.93252092245
1545,105028.45487225903
1546,121200.42424386721
1547,116318.21694137776
1548,122238.31324798154
1549,111385.01494252443
1550,116196.20452348846
1551,112141.15023896698
1552,125184.74388578527
1553,147924.51167908445
1554,117225.77433415082
1555,152036.32014361213
1556,92216.93724477095
1557,103163.79714151459
1558,94176.27795378646
1559,81025.61148660602
1560,133653.4029516933
1561,126916.3453390934
1562,127417.77599044412
1563,115339.8529279524
1564,166309.94751871956
1565,150999.75774359962
1566,232831.37110389888
1567,76860.25508790794
1568,233910.95642825007
1569,126654.73811574017
1570,143833.77613170035
1571,119615.8154347447
1572,145471.14205506028
1573,211218.61785716782
1574,125780.85712093291
1575,223499.6328009793
1576,239202.92755515908
1577,171567.65569015042
1578,150979.48226047636
1579,146940.2934069013
1580,190964.87442029873
1581,160494.81969756092
1582,120270.89588769115
1583,298287.07093855116
1584,206117.02116997665
1585,133959.14393409376
1586,72085.23899969392
1587,95061.31578140399
1588,147336.96391185696
1589,88744.681446593
1590,134006.05651158828
1591,94498.59573995136
1592,113619.01752138877
1593,121907.9124541424
1594,114453.22294447584
1595,114034.74946151921
1596,246639.903219789
1597,193122.51317739894
1598,216821.91741110486
1599,158664.34726507112
1600,156015.6376351123
1601,73038.3898623584
1602,106589.67781331479
1603,90130.79475502454
1604,242243.4590033024
1605,240353.76895062998
1606,164816.41995203687
1607,181284.49517570424
1608,210349.89646823183
1609,172468.50151245444
1610,140068.40487574565
1611,135972.288866151
1612,166020.87323480676
1613,159210.64648297036
1614,122328.62374020739
1615,92691.11298122279
1616,77359.33892394828
1617,90551.77527001579
1618,121117.17385106259
1619,135047.71000462575
1620,172899.7620363125
1621,132503.6695422685
1622,126617.77533465583
1623,267470.73022415413
1624,210278.4677246756
1625,113229.07916411088
1626,164790.4865199936
1627,185801.17029605177
1628,272518.54474857124
1629,174721.69086452803
1630,349634.65289111633
1631,217311.61779820675
1632,231631.1347073332
1633,164888.5890094102
1634,181389.22791047872
1635,172198.56503111127
1636,149102.99345976976
1637,196435.78410223394
1638,173375.20680486617
1639,185147.44003446255
1640,253695.7044646203
1641,176194.5199583418
1642,215606.53148168136
1643,204384.31007823025
1644,227507.42211347484
1645,190842.24554821267
1646,157430.468290371
1647,152369.10727741593
1648,124757.02034546771
1649,140325.1583662069
1650,105197.64292977906
1651,119557.77644976057
1652,97466.50501195906
1653,101572.63818098586
1654,137401.86206239162
1655,144613.19310521559
1656,137422.75683348326
1657,137278.11219514773
1658,139071.2719459093
1659,116800.54939185407
1660,152656.69723337522
1661,412995.4942470452
1662,361163.5647291601
1663,336000.7188670465
1664,482831.350386921
1665,271101.7861589866
1666,302197.084344202
1667,338536.8055002166
1668,295738.52139818383
1669,272215.36694490904
1670,301556.0854196008
1671,236943.6853992449
1672,401122.4718779577
1673,264891.79315040784
1674,223128.38779644447
1675,178108.61963170607
1676,177587.39517912723
1677,199776.54834509353
1678,425238.34892665496
1679,355033.5333766227
1680,303569.7491377036
1681,221614.34777082963
1682,283485.3207981518
1683,172147.93677867565
1684,165669.580629882
1685,165917.8813545145
1686,170010.41508345678
1687,159789.00120403987
